Company,ISIN,Ticker,Sector,currency,currentPrice,dividendRate,dividendYield,dividendYieldAPI,longestYieldStrike,yearTimePeriod,yieldCounter,yieldRatio,firstDividendDate,lastDividendDate,lastDividendValue,lastPriceWithDividend
Cementir Holding,NL0013995087,CEM.MI,Basic Materials,EUR,8.19,0.22,2.68,0.026800001,37,37,37,100.0,1985-06-17,2023-05-22,0.22,7.399999618530273
Caltagirone,IT0003127930,CALT.MI,Basic Materials,EUR,3.98,0.15,3.85,0.0385,27,27,27,100.0,1995-07-17,2023-05-22,0.15,3.9499998092651367
Recordati Ord,IT0003828271,REC.MI,Healthcare,EUR,46.13,1.2,2.65,0.026500002,27,27,27,100.0,1995-05-18,2023-05-22,0.6,44.400001525878906
Danieli & C,IT0000076502,DAN.MI,Industrials,EUR,21.65,0.28,1.29,0.0128999995,27,27,27,100.0,1995-11-16,2022-11-21,0.2793,21.370698928833008
Cembre,IT0001128047,CMB.MI,Industrials,EUR,33.1,1.4,4.23,0.0423,23,23,23,100.0,1999-05-24,2023-05-08,1.4,30.100000381469727
Erg,IT0001157020,ERG.MI,Utilities,EUR,25.06,1.0,4.06,0.040599998,23,23,23,100.0,1999-05-10,2023-05-22,1.0,27.239999771118164
Sabaf,IT0001042610,SAB.MI,Industrials,EUR,17.5,0.6,3.92,0.0392,23,23,23,100.0,1999-05-24,2022-05-30,0.6,25.150001525878906
Sol,IT0001206769,SOL.MI,Basic Materials,EUR,25.25,0.33,1.28,0.0128,23,23,23,100.0,1999-05-24,2023-05-22,0.33,26.920000076293945
Enel,IT0003128367,ENEL.MI,Utilities,EUR,6.124,0.4,6.6,0.066,22,22,22,100.0,2000-06-19,2023-07-24,0.4,6.13599967956543
Banca Mediolanum,IT0004776628,BMED.MI,Financial Services,EUR,8.19,0.5,6.14,0.0614,22,22,22,100.0,2000-05-22,2023-04-24,0.26,8.357999801635742
Buzzi,IT0001347308,BZU.MI,Basic Materials,EUR,28.04,0.45,1.59,0.0159,22,22,22,100.0,2000-07-10,2023-05-22,0.45,22.649999618530273
Eni,IT0003132476,ENI.MI,Energy,EUR,14.17,0.91,6.45,0.0645,21,21,21,100.0,2001-06-18,2023-05-22,0.44,13.229999542236328
Generali Ass,IT0000062072,G.MI,Financial Services,EUR,18.595,1.16,6.27,0.0627,20,20,20,100.0,2002-05-20,2023-05-22,1.16,17.844999313354492
