Nome,Categoria,ISIN,Ticker
A2a,Servizi pubblici,IT0001233417,A2A
Abitare In,Prodotti per casa e persona,IT0005445280,ABT
Acea,Servizi pubblici,IT0001207098,ACE
Aeffe,Prodotti per casa e persona,IT0001384590,AEF
Aeroporto Guglielmo Marconi Di Bologna,Prodotti e servizi industriali,IT0001006128,ADB
Alerion,Servizi pubblici,IT0004720733,ARN
Algowatt,Servizi pubblici,IT0004359037,ALW
Alkemy,Media,IT0005314635,ALK
Amplifon,Salute,IT0004056880,AMP
Anima Holding,Servizi finanziari,IT0004998065,ANIM
Antares Vision,Prodotti e servizi industriali,IT0005366601,AV
Aquafil,Chimica,IT0005241192,ECNL
Ariston Holding,Edilizia e materiali,NL0015000N33,ARIS
Ascopiave,Servizi pubblici,IT0004093263,ASC
Autostrade Merid,Prodotti e servizi industriali,IT0000084043,AUTME
Avio,Prodotti e servizi industriali,IT0005119810,AVIO
Azimut,Servizi finanziari,IT0003261697,AZM
Banca Generali,Banche,IT0001031084,BGN
Banca Ifis,Servizi finanziari,IT0003188064,IF
Banca Mediolanum,Servizi finanziari,IT0004776628,BMED
Banca Monte Paschi Siena,Banche,IT0005508921,BMPS
Banca Sistema,Banche,IT0003173629,BST
Banco Bpm,Banche,IT0005218380,BAMI
Basicnet,Commercio,IT0001033700,BAN
Bastogi Spa,Prodotti e servizi industriali,IT0004412497,B
Bca Pop Sondrio,Banche,IT0000784196,BPSO
Bca Profilo,Banche,IT0001073045,PRO
Beewize,Tecnologie,IT0001487047,BWZ
Beghelli,Prodotti e servizi industriali,IT0001223277,BE
Bff Bank,Servizi finanziari,IT0005244402,BFF
Bialetti Industrie,Prodotti per casa e persona,IT0004222102,BIA
Biesse,Prodotti e servizi industriali,IT0003097257,BSS
Bioera,Alimentari,IT0005516130,BIE
Borgosesia,Prodotti e servizi industriali,IT0003217335,BO
Bper Banca,Banche,IT0000066123,BPE
Brembo,Automobili,IT0005252728,BRE
Brioschi,Beni Immobili,IT0000066180,BRI
Brunello Cucinelli,Prodotti per casa e persona,IT0004764699,BC
Buzzi,Edilizia e materiali,IT0001347308,BZU
Cairo Communication,Media,IT0004329733,CAI
Caleffi,Prodotti per casa e persona,IT0003025019,CLF
Caltagirone,Edilizia e materiali,IT0003127930,CALT
Campari,Alimentari,NL0015435975,CPR
Carel Industries,Edilizia e materiali,IT0005331019,CRL
Cellularline,Commercio,IT0005244618,CELL
Cembre,Prodotti e servizi industriali,IT0001128047,CMB
Cementir Holding,Edilizia e materiali,NL0013995087,CEM
Centrale Del Latte D'italia,Alimentari,IT0003023980,CLI
Cia,Beni Immobili,IT0003389522,CIA
Cir,Prodotti e servizi industriali,IT0000070786,CIR
Civitanavi Systems,Prodotti e servizi industriali,IT0005466153,CNS
Class Editori,Media,IT0005117848,CLE
Cnh Industrial,Prodotti e servizi industriali,NL0010545661,CNHI
Conafi,Servizi finanziari,IT0004105653,CNF
Credem,Banche,IT0003121677,CE
Csp Int Ind Calze,Materie prime,IT0001127874,CSP
D'amico,Prodotti e servizi industriali,LU2592315662,DIS
Danieli & C,Prodotti e servizi industriali,IT0000076502,DAN
Datalogic,Prodotti e servizi industriali,IT0004053440,DAL
De'longhi,Prodotti per casa e persona,IT0003115950,DLG
Diasorin,Salute,IT0003492391,DIA
Digital Bros,Prodotti per casa e persona,IT0001469995,DIB
Dovalue,Servizi finanziari,IT0001044996,DOV
Eems,Tecnologie,IT0001498234,EEMS
El.En,Salute,IT0005453250,ELN
Elica,Prodotti per casa e persona,IT0003404214,ELC
Emak,Prodotti per casa e persona,IT0001237053,EM
Enav,Prodotti e servizi industriali,IT0005176406,ENAV
Enel,Servizi pubblici,IT0003128367,ENEL
Enervit,Alimentari,IT0004356751,ENV
Eni,Petrolio e Gas Naturale,IT0003132476,ENI
Eprice,-,IT0005084717,EPR
Equita Group,Servizi finanziari,IT0005312027,EQUI
Erg,Servizi pubblici,IT0001157020,ERG
Esprinet,Tecnologie,IT0003850929,PRT
Eurogroup Laminations,Prodotti e servizi industriali,IT0005527616,EGLA
Eurotech,Tecnologie,IT0003895668,ETH
Exprivia,Tecnologie,IT0001477402,XPR
Ferrari,Automobili,NL0011585146,RACE
Fidia,Prodotti e servizi industriali,IT0001498481,FDA
Fiera Milano,Prodotti e servizi industriali,IT0003365613,FM
Fila,-,IT0004967292,FILA
Fincantieri,Prodotti e servizi industriali,IT0001415246,FCT
Fine Foods & Pharmaceuticals Ntm,Salute,IT0005215329,FF
Finecobank,Banche,IT0000072170,FBK
Fnm,Viaggi e tempo libero,IT0000060886,FNM
Gabetti,Beni Immobili,IT0005023038,GAB
Garofalo Health Care,Salute,IT0005345233,GHC
Gas Plus,Petrolio e Gas Naturale,IT0004098510,GSP
Gefran,Prodotti e servizi industriali,IT0003203947,GE
Generali Ass,Assicurazioni,IT0000062072,G
Geox,Prodotti per casa e persona,IT0003697080,GEO
Gequity,Servizi finanziari,IT0004942915,GEQ
Giglio Group,Telecomunicazioni,IT0005122400,GG
Gpi,Salute,IT0005221517,GPI
Greenthesis,Servizi pubblici,IT0001042297,GTH
Gvs,Prodotti e servizi industriali,IT0005411209,GVS
Hera,Servizi pubblici,IT0001250932,HER
I Grandi Viaggi,Viaggi e tempo libero,IT0005108219,IGV
Igd,Beni Immobili,IT0005322612,IGD
Il Sole 24 Ore,Media,IT0005283111,S24
Illimity Bank,Banche,IT0005359192,ILTY
Immsi,Prodotti per casa e persona,IT0001413837,IMS
Industrie De Nora,Prodotti e servizi industriali,IT0005186371,DNR
Intercos,Prodotti per casa e persona,IT0005455875,ICOS
Interpump Group,Prodotti e servizi industriali,IT0001078911,IP
Intesa Sanpaolo,Banche,IT0000072618,ISP
Inwit,Telecomunicazioni,IT0005090300,INW
Iren,Servizi pubblici,IT0003027817,IRE
It Way,Tecnologie,IT0003057624,ITW
Italgas,Servizi pubblici,IT0005211237,IG
Italian Exhibition Group,Viaggi e tempo libero,IT0003411417,IEG
Italmobiliare,Servizi finanziari,IT0005253205,ITM
Iveco Group,Prodotti e servizi industriali,NL0015000LU4,IVG
Juventus Fc,Viaggi e tempo libero,IT0000336518,JUVE
Kme Group,Materie prime,IT0004552359,KME
Landi Renzo,-,IT0004210289,LR
Leonardo,Prodotti e servizi industriali,IT0003856405,LDO
Luve,Edilizia e materiali,IT0005107492,LUVE
Lventure Group,Servizi finanziari,IT0005013013,LVEN
Maire Tecnimont,-,IT0004931058,MT
Marr,-,IT0003428445,MARR
Mediobanca,Servizi finanziari,IT0000062957,MB
Mfe A,Media,NL0015000MZ1,MFEA
Mfe B,Media,NL0015000N09,MFEB
Moncler,Prodotti per casa e persona,IT0004965148,MONC
Mondadori Edit,Media,IT0001469383,MN
Mondo Tv,Media,IT0001447785,MTV
Monrif,Media,IT0000066016,MON
Mutuionline,Servizi finanziari,IT0004195308,MOL
Neodecortech,Materie prime,IT0005275778,NDT
Netweek,Commercio,IT0005545675,NTW
Newlat Food,Alimentari,IT0005385213,NWL
Nexi,Prodotti e servizi industriali,IT0005366767,NEXI
Olidata,Tecnologie,IT0001350625,OLI
Openjobmetis,Prodotti e servizi industriali,IT0003683528,OJM
Orsero,Alimentari,IT0005138703,ORS
Ovs,Prodotti per casa e persona,IT0005043507,OVS
Pharmanutra,Salute,IT0005274094,PHN
Piaggio,Prodotti per casa e persona,IT0003073266,PIA
Pierrel,Salute,IT0005549644,PRL
Pininfarina Spa,Automobili,IT0003056386,PINF
Piquadro,Prodotti per casa e persona,IT0004240443,PQ
Pirelli & C,Automobili,IT0005278236,PIRC
Plc,Edilizia e materiali,IT0005339160,PLC
Poste Italiane,Assicurazioni,IT0003796171,PST
Prysmian,Prodotti e servizi industriali,IT0004176001,PRY
Rai Way,Telecomunicazioni,IT0005054967,RWAY
Ratti,Materie prime,IT0004724107,RAT
Rcs Mediagroup,Media,IT0004931496,RCS
Nome,Categoria,ISIN,Ticker
Recordati Ord,Salute,IT0003828271,REC
Reply,Tecnologie,IT0005282865,REY
Restart,Beni Immobili,IT0005349052,RST
Risanamento,Beni Immobili,IT0001402269,RN
S.S. Lazio,Viaggi e tempo libero,IT0003621783,SSL
Sabaf,Tecnologie,IT0001042610,SAB
Saes Getters,Prodotti e servizi industriali,IT0001029492,SG
Safilo Group,Prodotti per casa e persona,IT0004604762,SFL
Saipem,Petrolio e Gas Naturale,IT0005495657,SPM
Salcef Group,Prodotti e servizi industriali,IT0005388266,SCF
Salvatore Ferragamo,Prodotti per casa e persona,IT0004712375,SFER
Sanlorenzo,Prodotti per casa e persona,IT0003549422,SL
Saras,Petrolio e Gas Naturale,IT0000433307,SRS
Seco,Tecnologie,IT0005438046,IOT
Seri Industrial,Prodotti e servizi industriali,IT0005283640,SERI
Servizi Italia,Prodotti e servizi industriali,IT0003814537,SRI
Sesa,Tecnologie,IT0004729759,SES
Sit,Edilizia e materiali,IT0005262149,SIT
Snam,Petrolio e Gas Naturale,IT0003153415,SRG
Softlab,-,IT0001469953,SOF
Sogefi,-,IT0000076536,SO
Sol,Chimica,IT0001206769,SOL
Somec,Edilizia e materiali,IT0005329815,SOM
Stellantis,Automobili,NL00150001Q9,STLAM
Stmicroelectronics,Tecnologie,NL0000226223,STMMI
Tamburi,Servizi finanziari,IT0003153621,TIP
Technogym,Prodotti per casa e persona,IT0005162406,TGYM
Telecom Italia,Telecomunicazioni,IT0003497168,TIT
Tenaris,Petrolio e Gas Naturale,LU0156801721,TEN
Terna,Servizi pubblici,IT0003242622,TRN
Tesmec,Prodotti e servizi industriali,IT0004585243,TES
Tessellis,Telecomunicazioni,IT0005496473,TSL
The Italian Sea Group,Prodotti per casa e persona,IT0005439085,TISG
Tinexta,Servizi finanziari,IT0005037210,TNXT
Tod's,Prodotti per casa e persona,IT0003007728,TOD
Trevi Fin Ind,-,IT0005422768,TFI
Triboo,Media,IT0005001554,TB
Txt E-Solutions,Tecnologie,IT0001454435,TXT
Unicredit,Banche,IT0005239360,UCG
Unieuro,Commercio,IT0005239881,UNIR
Unipol,Assicurazioni,IT0004810054,UNI
Unipolsai,Assicurazioni,IT0004827447,US
Valsoia,Alimentari,IT0001018362,VLS
Webuild,Edilizia e materiali,IT0003865570,WBD
Wiit,Tecnologie,IT0005440893,WIIT
Zignago Vetro,Prodotti e servizi industriali,IT0004171440,ZV
Zucchi,Prodotti per casa e persona,IT0005395071,ZUC
