Company,Ticker
ABB LTD N,ABBN.SW
ABBOTT LABOR,ABT.SW
ACHIKO N,ACHI.SW
ADDEX N,ADXN.SW
ADECCO N,ADEN.SW
ADVAL TECH N,ADVN.SW
AEVIS N,AEVS.SW
AIRESIS N,AIRE.SW
ALLREAL N,ALLN.SW
ALPINE SELECT N,ALPN.SW
ALSO N,ALSN.SW
ALUFLEXPACK N,AFP.SW
AMS,AMS.SW
ANGLO PLC,AAM.SW
APG SGA N,APGN.SW
ARYZTA N,ARYN.SW
ASCOM N 10,ASCN.SW
ASMALLWORLD N,ASWN.SW
AUTONEUM N,AUTN.SW
BACHEM N -B-,BANB.SW
BALOISE N,BALN.SW
BARRY CALLEBAUT N,BARN.SW
BASILEA N,BSLN.SW
BC GENEVE P,BCGE.SW
BC JURA I,BCJ.SW
BC VAUD N,BCVN.SW
BEKB / BCBE N,BEKN.SW
BELIMO N,BEAN.SW
BELL AG N,BELL.SW
BELLEVUE GROUP N,BBN.SW
BKW N,BKW.SW
Blackstone Resources I,BLS.SW
BOBST GRP N,BOBNN.SW
BOSSARD N,BOSN.SW
BUCHER N,BUCN.SW
BURCKHARDT N,BCHN.SW
BURKHALTER N,BRKN.SW
BVZ HOL N,BVZN.SW
CADELPLATA N,CADN.SW
CALIDA N,CALN.SW
CASTLE PRIVATE N,CPEN.SW
CATERPILLAR,CAT.SW
CEMBRA MONEY BANK N,CMBN.SW
CI COM SA,CIE.SW
CICOR TECH N,CICN.SW
CIE FIN TR I,CFT.SW
CLARIANT N,CLN.SW
COMET N,COTN.SW
COSMO N,COPN.SW
CPH N,CPHN.SW
CREALOGIX N,CLXN.SW
CS GROUP N,CSGN.SW
DAETWYLER I,DAE.SW
DATACOLOR N,DCN.SW
DKSH N,DKSH.SW
DOTTIKON ES N,DESN.SW
DUFRY N,DUFN.SW
EDISUN POWER EUROPE N,ESUN.SW
EEII I,EEII.SW
EFG INTERNATIONAL N,EFGN.SW
ELMA ELECTRONIC N,ELMN.SW
EMMI N,EMMN.SW
EMS-CHEMIE N,EMSN.SW
ENERGIEDIENST N,EDHN.SW
EVOLVA N,EVE.SW
FEINTOOL N,FTON.SW
FLUGHAFEN ZUERICH N,FHZN.SW
FORBO N,FORN.SW
FORMULAFIRST I,FFI.SW
Fundamenta Real Estate N,FREN.SW
GALENICA SANTE N,GALE.SW
GAVAZZI I,GAV.SW
GEBERIT N,GEBN.SW
GIVAUDAN N,GIVN.SW
GLARNER KB N,GLKBN.SW
GMSA N,GMI.SW
GOODYEAR,GT.SW
HELVETIA HOLDING N,HELN.SW
HIAG IMMOBILIEN N,HIAG.SW
HOCHDORF N,HOCN.SW
HUBER+SUHNER N,HUBN.SW
HYPO LENZB N,HBLN.SW
IDORSIA N,IDIA.SW
IMPLENIA N,IMPN.SW
INA INVEST N,INA.SW
INFICON N,IFCN.SW
INTERROLL N,INRN.SW
INTERSHOP N,ISN.SW
INVESTIS N,IREN.SW
IVF HARTMANN N,VBSN.SW
JULIUS BAER N,BAER.SW
JUNGFRAUBAHN HLD N,JFN.SW
KARDEX N,KARN.SW
KLINGELNBERG N,KLIN.SW
KOMAX N,KOMN.SW
KUDELSKI I,KUD.SW
KUEHNE+NAGEL INT N,KNIN.SW
Kuros N,KURN.SW
LALIQUE GROUP N,LLQ.SW
Landis+Gyr N,LAND.SW
LECLANCHE N,LECN.SW
LEM N,LEHN.SW
LEONTEQ N,LEON.SW
LIECHT LANDBK N,LLBN.SW
LILLY ELI,LLY.SW
LINDT N,LISN.SW
LOGITECH N,LOGN.SW
LONZA N,LONN.SW
LUZERNER KB N,LUKN.SW
MCH GROUP N,MCHN.SW
MEDACTA GROUP N,MOVE.SW
MEDARTIS N,MED.SW
METALL ZUG AG,METN.SW
MEYER BURGER N,MBTN.SW
MIKRON N,MIKN.SW
MOBILEZONE N,MOZN.SW
MOLECULAR PARTNERS N,MOLN.SW
NEBAG N,NBEN.SW
NESTLE N,NESN.SW
NEWRON PHARMA N,NWRN.SW
NIBE Industrier AB N,NIBEB.SW
NOVARTIS N 2. LINIE,NOVNEE.SW
NOVARTIS N,NOVN.SW
Novavest Real Estate N,NREN.SW
O FUESSLI N,OFN.SW
OBSEVA N,OBSN.SW
OC OERLIKON N,OERL.SW
ORASCOM DEVELOPMENT HLD AG N,ODHN.SW
ORIOR N,ORON.SW
PARTNERS GROUP N,PGHN.SW
PEACH PROPERTY N,PEAN.SW
PEPSICO,PEP.SW
PERROT DUVAL I,PEDU.SW
PHILIP MRRS INT-WI,PMI.SW
PHOENIX I,PM.SW
PLAZZA N,PLAN.SW
PRIVATE EQUITY N,PEHN.SW
PSP N,PSPN.SW
RICHEMONT N,CFR.SW
RIETER N,RIEN.SW
ROCHE I,RO.SW
ROMANDE ENERGIE N,HREN.SW
SANTHERA N,SANN.SW
SCHAFFNER N,SAHN.SW
SCHINDLER N,SCHN.SW
SCHLATTER N,STRN.SW
SCHMOLZ+BICKENBACH AG N,STLN.SW
SCHWEITER I,SWTQ.SW
SENSIRION N,SENS.SW
SFS GROUP N,SFSN.SW
SGS N,SGSN.SW
SHL TELEMEDICINE N,SHLTN.SW
SIEGFRIED N,SFZN.SW
SIG Combibloc Grp N,SIGN.SW
SNB N,SNBN.SW
SOFTWAREONE N,SWON.SW
SONOVA N,SOON.SW
ST GALLER KB N,SGKN.SW
STADLER RAIL N,SRAIL.SW
STARRAGHECKERT N,STGN.SW
STRAUMANN N,STMN.SW
SULZER N,SUN.SW
SWATCH GROUP I,UHR.SW
SWATCH GROUP N,UHRN.SW
SWISS FIN&PROP INV N,SFPN.SW
SWISS LIFE HOLDING AG N,SLHN.SW
SWISS PRIME SITE N,SPSN.SW
SWISS RE N,SREN.SW
SWISSCOM N,SCMN.SW
TECAN GROUP AG N,TECN.SW
TEMENOS N,TEMN.SW
TITL BN BERG N,TIBN.SW
TORNOS N,TOHN.SW
U-BLOX N,UBXN.SW
UBS GROUP N,UBSG.SW
V-ZUG N,VZUG.SW
VALARTIS GROUP I,VLRT.SW
VALIANT N,VATN.SW
VALORA N,VALN.SW
VAT GROUP N,VACN.SW
VAUDOISE ASSU N,VAHN.SW
VETROPACK N,VETN.SW
VILLARS N,VILN.SW
VON ROLL I,ROL.SW
VONTOBEL N,VONN.SW
VPB VADUZ N,VPBN.SW
VZ HOLDING N,VZN.SW
WALLISER KB N,WKBN.SW
WARTECK N,WARN.SW
WISeKey N,WIHN.SW
YPSOMED HLDG,YPSN.SW
ZEHNDER N,ZEHN.SW
ZUEBLIN IMM N,ZUBN.SW
ZUG ESTATES HOLDING AG,ZUGN.SW
ZUGER KB N,ZUGER.SW
ZUR ROSE GROUP N,ROSE.SW
ZURICH FINANCIAL N,SWN.SW
ZWAHLEN I,ZWM.SW
