Nome,ISIN,Categoria
A2a,IT0001233417,Servizi pubblici
Abitare In,IT0005445280,Prodotti per casa e persona
Acea,IT0001207098,Servizi pubblici
Aeffe,IT0001384590,Prodotti per casa e persona
Aeroporto Guglielmo Marconi Di Bologna,IT0001006128,Prodotti e servizi industriali
Alerion,IT0004720733,Servizi pubblici
Algowatt,IT0004359037,Servizi pubblici
Alkemy,IT0005314635,Media
Amplifon,IT0004056880,Salute
Anima Holding,IT0004998065,Servizi finanziari
Antares Vision,IT0005366601,Prodotti e servizi industriali
Aquafil,IT0005241192,Chimica
Ariston Holding,NL0015000N33,Edilizia e materiali
Ascopiave,IT0004093263,Servizi pubblici
Autostrade Merid,IT0000084043,Prodotti e servizi industriali
Avio,IT0005119810,Prodotti e servizi industriali
Azimut,IT0003261697,Servizi finanziari
Banca Generali,IT0001031084,Banche
Banca Ifis,IT0003188064,Servizi finanziari
Banca Mediolanum,IT0004776628,Servizi finanziari
Banca Monte Paschi Siena,IT0005508921,Banche
Banca Sistema,IT0003173629,Banche
Banco Bpm,IT0005218380,Banche
Basicnet,IT0001033700,Commercio
Bastogi Spa,IT0004412497,Prodotti e servizi industriali
Bca Pop Sondrio,IT0000784196,Banche
Bca Profilo,IT0001073045,Banche
Beewize,IT0001487047,Tecnologie
Beghelli,IT0001223277,Prodotti e servizi industriali
Bff Bank,IT0005244402,Servizi finanziari
Bialetti Industrie,IT0004222102,Prodotti per casa e persona
Biesse,IT0003097257,Prodotti e servizi industriali
Bioera,IT0005516130,Alimentari
Borgosesia,IT0003217335,Prodotti e servizi industriali
Bper Banca,IT0000066123,Banche
Brembo,IT0005252728,Automobili
Brioschi,IT0000066180,Beni Immobili
Brunello Cucinelli,IT0004764699,Prodotti per casa e persona
Buzzi,IT0001347308,Edilizia e materiali
Cairo Communication,IT0004329733,Media
Caleffi,IT0003025019,Prodotti per casa e persona
Caltagirone,IT0003127930,Edilizia e materiali
Campari,NL0015435975,Alimentari
Carel Industries,IT0005331019,Edilizia e materiali
Cellularline,IT0005244618,Commercio
Cembre,IT0001128047,Prodotti e servizi industriali
Cementir Holding,NL0013995087,Edilizia e materiali
Centrale Del Latte D'italia,IT0003023980,Alimentari
Cia,IT0003389522,Beni Immobili
Cir,IT0000070786,Prodotti e servizi industriali
Civitanavi Systems,IT0005466153,Prodotti e servizi industriali
Class Editori,IT0005117848,Media
Cnh Industrial,NL0010545661,Prodotti e servizi industriali
Conafi,IT0004105653,Servizi finanziari
Credem,IT0003121677,Banche
Csp Int Ind Calze,IT0001127874,Materie prime
D'amico,LU2592315662,Prodotti e servizi industriali
Danieli & C,IT0000076502,Prodotti e servizi industriali
Datalogic,IT0004053440,Prodotti e servizi industriali
De'longhi,IT0003115950,Prodotti per casa e persona
Diasorin,IT0003492391,Salute
Digital Bros,IT0001469995,Prodotti per casa e persona
Dovalue,IT0001044996,Servizi finanziari
Eems,IT0001498234,Tecnologie
El.En,IT0005453250,Salute
Elica,IT0003404214,Prodotti per casa e persona
Emak,IT0001237053,Prodotti per casa e persona
Enav,IT0005176406,Prodotti e servizi industriali
Enel,IT0003128367,Servizi pubblici
Enervit,IT0004356751,Alimentari
Eni,IT0003132476,Petrolio e Gas Naturale
Eprice,IT0005084717,-
Equita Group,IT0005312027,Servizi finanziari
Erg,IT0001157020,Servizi pubblici
Esprinet,IT0003850929,Tecnologie
Eurogroup Laminations,IT0005527616,Prodotti e servizi industriali
Eurotech,IT0003895668,Tecnologie
Exprivia,IT0001477402,Tecnologie
Ferrari,NL0011585146,Automobili
