Company,Ticker
ASTON MARTIN LAGONDA GLOBAL HOLDING ORD GBP0.10,AML.L
PENSIONBEE GROUP PLC ORD GBP0.001,PBEE.L
LIFE SCIENCE REIT PLC ORD GBP0.01,LABS.L
COSTAIN GROUP PLC ORD 50P,COST.L
SERAPHIM SPACE INVESTMENT TRUST PLC ORD GBP0.01,SSIT.L
XAAR PLC ORD 10P,XAR.L
INVESCO SELECT TRUST PLC UK EQTY SHS 1P,IVPU.L
DFS FURNITURE PLC ORD GBP0.10,DFS.L
NORCROS PLC ORD 10P,NXR.L
ENQUEST PLC ORD 5P,ENQ.L
SDCL ENERGY EFFICIENCY INCOME TRUST ORD GBP0.01,SEIT.L
3I INFRASTRUCTURE PLC ORD NPV,3IN.L
LUCECO PLC ORD GBP0.0005,LUCE.L
FIRSTGROUP PLC ORD 5P,FGP.L
W.A.G PAYMENT SOLUTIONS PLC ORD 1P,WPS.L
INTERNATIONAL PERSONAL FINANCE PLC ORD 10P,IPF.L
DOWLAIS GROUP PLC ORD 1P,DWL.L
TOPPS TILES PLC ORD 3 1/3P,TPT.L
PORVAIR PLC ORD 2P,PRV.L
JPMORGAN JAPAN SMALL CAP G&I PLC ORD 10P,JSGI.L
ME GROUP INTERNATIONAL PLC ORD 0.5P,MEGP.L
HAYS PLC ORD 1P,HAS.L
TESCO PLC ORD 6 1/3P,TSCO.L
XPS PENSIONS GROUP PLC ORD GBP0.0005,XPS.L
DIGITAL 9 INFRASTRUCTURE PLC ORD NPV,DGI9.L
CC JAPAN INCOME & GROWTH TRUST PLC ORD GBP0.01,CCJI.L
SMURFIT KAPPA GROUP PLC ORD EUR0.001 (CDI),SKG.L
VH GLOBAL SUSTAINABLE ENERGY OPPORT ORD 1P,GSEO.L
HENDERSON DIVERSIFIED INC TST PLC ORD 1P,HDIV.L
HELICAL PLC ORD 1P,HLCL.L
IMPACT HEALTHCARE REIT PLC ORD 1P,IHR.L
PHOENIX SPREE DEUTSCHLAND LIMITED SHS NPV,PSDL.L
MITIE GROUP PLC ORD 2.5P,MTO.L
TROY INCOME & GROWTH TRUST PLC ORD 25P,TIGT.L
SENIOR PLC ORD 10P,SNR.L
CQS NEW CITY HIGH YIELD FUND LD ORD NPV,NCYF.L
KIER GROUP PLC ORD 1P,KIE.L
ABRDN EUROPEAN LOGISTICS INCOME PLC ORD 1P,ASLI.L
QUILTER PLC ORD 8 1/6P,QLT.L
ABRDN NEW INDIA INVESTMENT TRUST PL ORD 25P,ANII.L
ANGLO-EASTERN PLANTATIONS PLC ORD 25P,AEP.L
ZOTEFOAMS PLC ORD 5P,ZTF.L
CHEMRING GROUP PLC ORD 1P,CHG.L
MELROSE INDUSTRIES PLC ORD 160/7P,MRO.L
INTERTEK GROUP PLC ORD 1P,ITRK.L
CRH PLC ORD EUR 0.32 (CDI),CRH.L
LANCASHIRE HOLDINGS LD COM SHS USD0.50,LRE.L
HARBOUR ENERGY PLC ORD 0.002P,HBR.L
TRAINLINE PLC ORD 1P,TRN.L
CENTRICA PLC ORD 6 14/81P,CNA.L
HICL INFRASTRUCTURE PLC ORD 0.01P,HICL.L
SAINSBURY(J) PLC ORD 28 4/7P,SBRY.L
BARR(A.G.) PLC ORD 4 1/6P,BAG.L
FIDELITY JAPAN TRUST PLC ORD 25P,FJV.L
HIKMA PHARMACEUTICALS PLC ORD SHS 10P,HIK.L
BAILLIE GIFFORD SHIN NIPPON PLC ORD 2P,BGS.L
FDM GROUP (HOLDINGS) PLC ORD 1P,FDM.L
PLAYTECH PLC ORD NPV,PTEC.L
AUGMENTUM FINTECH PLC ORD GBP0.01,AUGM.L
MANCHESTER & LONDON INV TST PLC ORD 25P,MNL.L
TELECOM PLUS PLC ORD 5P,TEP.L
SMITHS GROUP PLC ORD 37.5P,SMIN.L
HILL & SMITH PLC ORD 25P,HILS.L
PACIFIC ASSETS TRUST PLC ORD 12.5P,PAC.L
SMITH (DS) PLC ORD 10P,SMDS.L
NORTH ATLANTIC SMALL CO INV TST PLC ORD 5P,NAS.L
MOBIUS INVESTMENT TRUST PLC ORD 1P,MMIT.L
FORESIGHT SOLAR FUND LD ORD NPV,FSFL.L
AIRTEL AFRICA PLC ORD USD0.50,AAF.L
GREGGS PLC ORD 2P,GRG.L
PANTHEON INFRASTRUCTURE PLC ORD GBP0.01,PINT.L
AEW UK REIT PLC ORD GBP0.01,AEWU.L
