Company,Ticker
ABB LTD N,CH0012221716
ACCELLERON N,CH1169360919
ACHIKO N,CH0522213468
ADDEX N,CH0029850754
ADECCO N,CH0012138605
ADVAL TECH N,CH0008967926
AEVIS N,CH0478634105
AIRESIS N,CH0010947627
ALCON N,CH0432492467
ALLREAL N,CH0008837566
ALPINE SELECT N,CH0019199550
ALSO N,CH0024590272
ALUFLEXPACK N,CH0453226893
ams-OSRAM,AT0000A18XM4
APG SGA N,CH0019107025
ARBONIA N,CH0110240600
Arundel N,CH0002271010
ARYZTA N,CH0043238366
ASCOM N,CH0011339204
ASMALLWORLD N,CH0404880129
AUTONEUM N,CH0127480363
BACHEM N,CH1176493729
BALOISE N,CH0012410517
BARRY CALLEBAUT N,CH0009002962
BASELLAND KB PS,CH0001473559
BASILEA N,CH0011432447
BASLER KB PS,CH0009236461
BB BIOTECH N,CH0038389992
BC GENEVE N,CH0350494719
BC JURA N,CH0350665672
BC VAUD N,CH0531751755
BEKB / BCBE N,CH0009691608
BELIMO N,CH1101098163
BELL FOOD GROUP N,CH0315966322
BELLEVUE GROUP N,CH0028422100
BKW N,CH0130293662
BOSSARD N,CH0238627142
BUCHER N,CH0002432174
BURCKHARDT N,CH0025536027
BURKHALTER N,CH0212255803
BVZ HOL N,CH0008207356
BYSTRONIC AG,CH0244017502
CALIDA N,CH0126639464
CASTLE PRIVATE N,CH0048854746
CEMBRA MONEY BANK N,CH0225173167
CI COM SA,CH0001625810
CICOR TECH N,CH0008702190
CIE FIN TR I,CH0014345117
CLARIANT N,CH0012142631
COLTENE N,CH0025343259
COMET N,CH0360826991
COSMO PHARM N,NL0011832936
CPH N,CH0001624714
CREALOGIX N,CH0011115703
DAETWYLER I,CH0030486770
DATACOLOR N,CH0008531045
DKSH N,CH0126673539
DOCMORRIS N,CH0042615283
dormakaba N,CH0011795959
DOTTIKON ES N,CH0582581713
DUFRY N,CH0023405456
EDISUN POWER EUROPE N,CH0024736404
EEII I,CH0007162958
EFG INTERNATIONAL N,CH0022268228
ELMA ELECTRONIC N,CH0005319162
EMMI N,CH0012829898
EMS-CHEMIE N,CH0016440353
ENERGIEDIENST N,CH0039651184
ENR RUSSIA INVEST I,CH0034476959
EPIC N,CH0516131684
EVOLVA N,CH1262055788
FEINTOOL N,CH0009320091
FLUGHAFEN ZUERICH N,CH0319416936
FORBO N,CH0003541510
Fundamenta Real Estate N,CH0045825517
GALENICA N,CH0360674466
GAM N,CH0102659627
GAVAZZI N,CH1278877563
GEBERIT N,CH0030170408
GEORG FISCHER N,CH1169151003
GIVAUDAN N,CH0010645932
