Company,ISIN,Ticker,Sector,currency,currentPrice,dividendRate,dividendYield,firstDividendDate,lastDividendDate,lastDividendValue,lastPriceWithDividend
Abitare In,IT0005445280,ABT.MI,Real Estate,EUR,5.42,0.38,0.0704,2018-07-09,2021-06-21,0.0,6.119999885559082
A2a,IT0001233417,A2A.MI,Utilities,EUR,1.7295,0.09,0.052399997,2002-06-24,2023-05-22,0.0904,1.5480998754501343
Alerion,IT0004720733,ARN.MI,Utilities,EUR,28.0,0.65,0.024400001,2005-05-16,2023-05-08,0.65,28.55000114440918
Acea,IT0001207098,ACE.MI,Utilities,EUR,10.48,0.85,0.082600005,2000-06-19,2023-06-19,0.85,13.080000877380371
Amplifon,IT0004056880,AMP.MI,Healthcare,EUR,30.31,0.29,0.0097,2002-05-06,2023-05-22,0.29,33.93000030517578
Anima Holding,IT0004998065,ANIM.MI,Financial Services,EUR,3.72,0.22,0.060100004,2015-05-18,2023-05-22,0.22,3.4619998931884766
Ariston Holding,NL0015000N33,ARIS.MI,Utilities,EUR,7.015,0.13,0.018099999,2022-05-23,2023-05-22,0.13,9.84999942779541
Aquafil,IT0005241192,ECNL.MI,Consumer Cyclical,EUR,3.27,0.24,0.074099995,2018-05-07,2023-05-08,0.24,4.675000190734863
Ascopiave,IT0004093263,ASC.MI,Utilities,EUR,2.13,0.13,0.0615,2007-05-14,2023-05-02,0.13,2.7799999713897705
Autostrade Merid,IT0000084043,AUTME.MI,Industrials,EUR,15.4,3.5,0.23030001,1996-04-09,2023-04-24,3.5,19.899999618530273
Azimut,IT0003261697,AZM.MI,Financial Services,EUR,20.77,1.3,0.063,2005-05-20,2023-05-22,1.3,19.15999984741211
Banca Generali,IT0001031084,BGN.MI,Financial Services,EUR,32.93,2.45,0.0753,2007-05-14,2023-05-22,1.8,29.81999969482422
Banca Ifis,IT0003188064,IF.MI,Financial Services,EUR,16.1,2.35,0.1449,1999-05-10,2023-05-22,0.4,14.180000305175781
Banca Sistema,IT0003173629,BST.MI,Financial Services,EUR,1.21,0.07,0.0557,2016-05-09,2023-05-08,0.065,1.2249999046325684
Banca Mediolanum,IT0004776628,BMED.MI,Financial Services,EUR,8.19,0.5,0.0614,2000-05-22,2023-04-24,0.26,8.357999801635742
Basicnet,IT0001033700,BAN.MI,Consumer Cyclical,EUR,4.88,0.18,0.037,2000-07-10,2023-04-24,0.18,5.640000343322754
Banco Bpm,IT0005218380,BAMI.MI,Financial Services,EUR,4.341,0.23,0.053000003,2003-05-19,2023-04-24,0.23,4.005000114440918
Bastogi Spa,IT0004412497,B.MI,Industrials,EUR,0.59,0.01,0.0153,2008-10-06,2008-10-06,0.0,2.158381938934326
Bca Pop Sondrio,IT0000784196,BPSO.MI,Financial Services,EUR,4.234,0.28,0.0661,2002-03-11,2023-05-22,0.28,3.8919999599456787
Bca Profilo,IT0001073045,PRO.MI,Financial Services,EUR,0.204,0.01,0.069,2001-05-21,2023-05-02,0.014,0.21700000762939453
Bff Bank,IT0005244402,BFF.MI,Financial Services,EUR,9.7,0.86,0.0883,2018-04-09,2023-08-11,0.567,9.53800106048584
Biesse,IT0003097257,BSS.MI,Industrials,EUR,12.4,0.33,0.026500002,2002-07-15,2023-05-08,0.33,13.40999984741211
Borgosesia,IT0003217335,BO.MI,Consumer Cyclical,EUR,0.704,0.02,0.0348,2001-12-27,2023-06-05,0.07200000000000001,0.706000030040741
Bper Banca,IT0000066123,BPE.MI,Financial Services,EUR,2.729,0.12,0.0434,2002-05-27,2023-05-22,0.24,2.580000162124634
Brembo,IT0005252728,BRE.MI,Consumer Cyclical,EUR,12.62,0.28,0.022,1996-05-06,2023-05-22,0.28,14.15999984741211
Brunello Cucinelli,IT0004764699,BC.MI,Consumer Cyclical,EUR,70.95,0.65,0.0092,2013-05-20,2023-05-22,0.65,81.3499984741211
Buzzi,IT0001347308,BZU.MI,Basic Materials,EUR,28.04,0.45,0.0159,2000-07-10,2023-05-22,0.45,22.649999618530273
Cairo Communication,IT0004329733,CAI.MI,Communication Services,EUR,1.652,0.14,0.0864,2002-02-11,2023-05-29,0.14,1.7400000095367432
Caltagirone,IT0003127930,CALT.MI,Basic Materials,EUR,3.98,0.15,0.0385,1995-07-17,2023-05-22,0.15,3.9499998092651367
Campari,NL0015435975,CPR.MI,Consumer Defensive,EUR,11.985,0.06,0.0052,2002-05-06,2023-04-24,0.06,11.744999885559082
Carel Industries,IT0005331019,CRL.MI,Technology,EUR,25.2,0.18,0.0069999998,2019-06-24,2023-06-19,0.18,27.969999313354492
Cembre,IT0001128047,CMB.MI,Industrials,EUR,33.1,1.4,0.0423,1999-05-24,2023-05-08,1.4,30.100000381469727
Cementir Holding,NL0013995087,CEM.MI,Basic Materials,EUR,8.19,0.22,0.026800001,1985-06-17,2023-05-22,0.22,7.399999618530273
Civitanavi Systems,IT0005466153,CNS.MI,Technology,EUR,3.76,0.13,0.0353,2023-05-08,2023-05-08,0.13,3.6100001335144043
Cnh Industrial,NL0010545661,CNHI,Industrials,USD,13.06,0.4,0.0307,2014-04-22,2023-04-24,0.396,13.944000244140625
Credem,IT0003121677,CE.MI,Financial Services,EUR,7.6,0.33,0.0436,1998-05-18,2023-05-15,0.33,6.820000171661377
D'Amico,LU2592315662,DIS.MI,Industrials,EUR,4.122,0.16,0.0395,2008-05-19,2023-06-19,0.018,3.819999933242798
Danieli & C,IT0000076502,DAN.MI,Industrials,EUR,21.65,0.28,0.0128999995,1995-11-16,2022-11-21,0.2793,21.370698928833008
Datalogic,IT0004053440,DAL.MI,Technology,EUR,6.17,0.3,0.049000002,2002-05-27,2023-05-22,0.3,6.735000133514404
De'Longhi,IT0003115950,DLG.MI,Consumer Cyclical,EUR,23.36,0.48,0.0207,2002-04-29,2023-05-22,0.48,20.34000015258789
Diasorin,IT0003492391,DIA.MI,Healthcare,EUR,93.96,1.1,0.0117999995,2008-07-14,2023-05-22,1.1,101.30000305175781
Dovalue,IT0001044996,DOV.MI,Financial Services,EUR,4.395,0.6,0.133,2018-05-21,2023-05-08,0.6,5.7699995040893555
Digital Bros,IT0001469995,DIB.MI,Communication Services,EUR,16.31,0.18,0.0115,2005-12-12,2022-12-05,0.18,23.34000015258789
El.En.,IT0005453250,ELN.MI,Healthcare,EUR,10.8,0.22,0.0208,2001-07-23,2023-05-29,0.22,10.859999656677246
Elica,IT0003404214,ELC.MI,Consumer Cyclical,EUR,2.62,0.07,0.027,2007-05-14,2023-07-03,0.07,2.6700000762939453
Enav,IT0005176406,ENAV.MI,Industrials,EUR,3.674,0.2,0.0538,2017-05-22,2022-10-24,0.1081,3.573899984359741
Emak,IT0001237053,EM.MI,Industrials,EUR,1.076,0.07,0.0617,1999-06-21,2023-06-05,0.065,1.0429999828338623
Enervit,IT0004356751,ENV.MI,Consumer Defensive,EUR,3.12,0.13,0.0417,2009-06-01,2023-05-22,0.13,3.070000171661377
Enel,IT0003128367,ENEL.MI,Utilities,EUR,6.124,0.4,0.066,2000-06-19,2023-07-24,0.4,6.13599967956543
Eni,IT0003132476,ENI.MI,Energy,EUR,14.17,0.91,0.0645,2001-06-18,2023-05-22,0.44,13.229999542236328
Equita Group,IT0005312027,EQUI.MI,Financial Services,EUR,3.68,0.3,0.082200006,2018-05-07,2023-05-22,0.4,3.7799999713897705
Erg,IT0001157020,ERG.MI,Utilities,EUR,25.06,1.0,0.040599998,1999-05-10,2023-05-22,1.0,27.239999771118164
Esprinet,IT0003850929,PRT.MI,Technology,EUR,5.37,0.54,0.1037,2002-04-29,2023-04-24,0.54,8.135000228881836
Ferrari,NL0011585146,RACE,Consumer Cyclical,USD,312.79,2.0,0.0064,2016-05-23,2023-04-24,1.989,276.0409851074219
Fila,IT0004967292,FILA.MI,Industrials,EUR,8.47,0.12,0.014400001,2015-06-01,2023-05-22,0.12,7.380000114440918
Fine Foods & Pharmaceuticals Ntm,IT0005215329,FF.MI,Consumer Defensive,EUR,8.07,0.1,0.0125,2019-05-03,2023-05-22,0.1,7.300000190734863
Finecobank,IT0000072170,FBK.MI,Financial Services,EUR,12.615,0.49,0.039100002,2015-04-27,2023-05-22,0.49,12.074999809265137
Fnm,IT0000060886,FNM.MI,Industrials,EUR,0.419,0.02,0.0537,2012-06-18,2023-06-05,0.023,0.43299999833106995
Gas Plus,IT0004098510,GSP.MI,Energy,EUR,2.63,0.05,0.019299999,2007-05-21,2023-07-31,0.05,2.6100001335144043
Gefran,IT0003203947,GE.MI,Technology,EUR,8.64,0.4,0.046,1999-05-10,2023-05-08,0.4,9.620000839233398
Generali Ass,IT0000062072,G.MI,Financial Services,EUR,18.595,1.16,0.0627,2002-05-20,2023-05-22,1.16,17.844999313354492
Gpi,IT0005221517,GPI.MI,Healthcare,EUR,10.08,0.5,0.0481,2017-05-08,2023-05-15,0.5,11.479999542236328
Greenthesis,IT0001042297,GTH.MI,Industrials,EUR,0.89,0.02,0.0209,1999-06-07,2023-06-05,0.01885,0.9211499691009521
Hera,IT0001250932,HER.MI,Utilities,EUR,2.72,0.12,0.0463,2004-05-31,2023-06-19,0.125,2.7790000438690186
Igd,IT0005322612,IGD.MI,Real Estate,EUR,2.295,0.3,0.1313,2005-05-16,2023-05-08,0.3,2.5899999141693115
Illimity Bank,IT0005359192,ILTY.MI,Financial Services,EUR,6.13,0.18,0.028800001,2023-05-22,2023-05-22,0.18,6.230000019073486
Immsi,IT0001413837,IMS.MI,Consumer Cyclical,EUR,0.475,0.04,0.0808,2003-05-12,2023-05-22,0.039,0.5300000309944153
Industrie De Nora,IT0005186371,DNR.MI,Basic Materials,EUR,17.68,0.12,0.0068,2023-05-22,2023-05-22,0.12,18.720001220703125
Intercos,IT0005455875,ICOS.MI,Consumer Defensive,EUR,13.96,0.17,0.0119,2023-05-08,2023-05-08,0.16622,15.853779792785645
Interpump Group,IT0001078911,IP.MI,Industrials,EUR,45.5,0.3,0.0067000003,1997-05-19,2023-05-22,0.3,53.84000015258789
Intesa Sanpaolo,IT0000072618,ISP.MI,Financial Services,EUR,2.458,0.24,0.098900005,2002-05-20,2023-05-22,0.0901,2.3264000415802
Iren,IT0003027817,IRE.MI,Utilities,EUR,1.841,0.11,0.0618,2002-06-24,2023-06-19,0.11,1.75
Inwit,IT0005090300,INW.MI,Real Estate,EUR,11.27,0.35,0.031400003,2016-05-23,2023-05-22,0.3467,11.708300590515137
Italgas,IT0005211237,IG.MI,Utilities,EUR,5.155,0.32,0.062,2017-05-22,2023-05-22,0.317,5.4730000495910645
Italmobiliare,IT0005253205,ITM.MI,Consumer Defensive,EUR,24.7,0.7,0.028499998,1987-10-16,2023-05-08,0.7,25.399999618530273
Leonardo,IT0003856405,LDO.MI,Industrials,EUR,13.17,0.14,0.0107,2005-07-18,2023-05-22,0.14,11.094999313354492
Luve,IT0005107492,LUVE.MI,Industrials,EUR,26.15,0.38,0.014400001,2016-05-09,2023-05-08,0.38,28.81999969482422
Maire Tecnimont,IT0004931058,MAIRE.MI,Industrials,EUR,3.552,0.12,0.0349,2008-05-19,2023-04-24,0.124,3.757999897003174
Marr,IT0003428445,MARR.MI,Consumer Defensive,EUR,12.76,0.38,0.030199999,2006-05-15,2023-05-22,0.38,14.09999942779541
Mediobanca,IT0000062957,MB.MI,Financial Services,EUR,11.92,0.85,0.0716,1988-11-17,2022-11-21,0.75,9.425000190734863
Mfe A,NL0015000MZ1,MFEA.MI,Communication Services,EUR,0.4618,0.05,0.1067,2022-09-19,2023-07-24,0.05,0.46050000190734863
Mfe B,NL0015000N09,MFEB.MI,Communication Services,EUR,0.6675,0.05,0.0744,1997-05-19,2023-07-24,0.05,0.6614999771118164
