Company,ISIN,Ticker,Sector,currency,currentPrice,dividendRate,dividendYield,firstDividendDate,lastDividendDate,lastDividendValue,lastPriceWithDividend
NORCROS PLC ORD 10P,NXR.L,NXR.L,Industrials,GBp,148.75,0.1,0.0686,2007-12-05,2023-06-29,6.8,172.7
DFS FURNITURE PLC ORD GBP0.10,DFS.L,DFS.L,Consumer Cyclical,GBp,113.0,0.05,0.046,2015-12-10,2023-04-13,1.5,128.9
FIRSTGROUP PLC ORD 5P,FGP.L,FGP.L,Industrials,GBp,144.0,0.05,0.034,1996-01-15,2023-07-13,2.9,145.1
LUCECO PLC ORD GBP0.0005,LUCE.L,LUCE.L,Industrials,GBp,124.6,0.05,0.0369,2017-05-04,2023-04-06,3.0,122.0
PORVAIR PLC ORD 2P,PRV.L,PRV.L,Industrials,GBp,612.0,0.06,0.0095,1993-03-01,2023-07-20,5.8,632.0
INTERNATIONAL PERSONAL FINANCE PLC ORD 10P,IPF.L,IPF.L,Financial Services,GBp,119.5,0.1,0.080299996,2008-04-09,2023-04-06,6.5,96.5
ME GROUP INTERNATIONAL PLC ORD 0.5P,MEGP.L,MEGP.L,Industrials,GBp,155.6,0.06,0.039100002,1989-12-14,2023-04-27,3.6,126.4
TOPPS TILES PLC ORD 3 1/3P,TPT.L,TPT.L,Consumer Cyclical,GBp,50.5,0.04,0.0752,1998-02-09,2023-06-08,1.2,52.4
SMURFIT KAPPA GROUP PLC ORD EUR0.001 (CDI),SKG.L,SKG.L,Consumer Cyclical,GBp,3148.0,1.23,0.038900003,2008-04-02,2023-04-13,107.6,2912.4
HAYS PLC ORD 1P,HAS.L,HAS.L,Industrials,GBp,105.3,0.03,0.028499998,1993-04-19,2023-03-02,0.95,119.65
TESCO PLC ORD 6 1/3P,TSCO.L,TSCO.L,Consumer Defensive,GBp,260.1,0.11,0.0419,1993-04-19,2023-05-11,7.05,270.85
XPS PENSIONS GROUP PLC ORD GBP0.0005,XPS.L,XPS.L,Consumer Cyclical,GBp,187.0,0.08,0.0448,2017-08-31,2023-08-24,8.4,183.3
MITIE GROUP PLC ORD 2.5P,MTO.L,MTO.L,Industrials,GBp,93.6,0.03,0.031,1993-02-15,2023-06-22,2.2,96.1
HELICAL PLC ORD 1P,HLCL.L,HLCL.L,Real Estate,GBp,237.5,0.12,0.0495,1993-03-29,2023-06-22,8.7,261.3
ZOTEFOAMS PLC ORD 5P,ZTF.L,ZTF.L,Basic Materials,GBp,360.0,0.07,0.019199999,1995-08-14,2023-05-04,4.62,365.38
QUILTER PLC ORD 8 1/6P,QLT.L,QLT.L,Financial Services,GBp,81.75,0.05,0.0587,2018-08-23,2023-04-20,3.3,80.05
SENIOR PLC ORD 10P,SNR.L,SNR.L,Industrials,GBp,175.8,0.02,0.0091,1993-04-19,2023-04-27,1.0,164.0
LANCASHIRE HOLDINGS LD COM SHS USD0.50,LRE.L,LRE.L,Financial Services,GBp,560.5,0.12,0.0212,2009-08-26,2023-08-17,12.928,564.0
ANGLO-EASTERN PLANTATIONS PLC ORD 25P,AEP.L,AEP.L,Consumer Defensive,GBp,710.0,0.32,0.0448,1993-04-19,2023-06-01,20.024,837.976
MELROSE INDUSTRIES PLC ORD 160/7P,MRO.L,MRO.L,Industrials,GBp,508.8,0.07,0.0139,2006-04-19,2023-04-20,4.5,339.85
HARBOUR ENERGY PLC ORD 0.002P,HBR.L,HBR.L,Energy,GBp,234.0,0.19,0.081599995,2021-06-25,2023-04-13,9.6579,276.442
CHEMRING GROUP PLC ORD 1P,CHG.L,CHG.L,Industrials,GBp,289.5,0.06,0.0211,1993-01-04,2023-08-17,6.1,290.7
INTERTEK GROUP PLC ORD 1P,ITRK.L,ITRK.L,Industrials,GBp,4133.0,1.09,0.026400002,2003-06-04,2023-05-25,71.6,4261.4
CRH PLC ORD EUR 0.32 (CDI),CRH.L,CRH.L,Basic Materials,GBp,4508.0,1.02,0.0225,1994-03-28,2023-03-16,103.0,3850.0
CENTRICA PLC ORD 6 14/81P,CNA.L,CNA.L,Utilities,GBp,146.7,0.03,0.0227,1999-05-10,2023-06-08,2.0,115.85
HIKMA PHARMACEUTICALS PLC ORD SHS 10P,HIK.L,HIK.L,Healthcare,GBp,2122.0,0.49,0.0232,2006-04-26,2023-08-10,54.5244,2180.0
SAINSBURY(J) PLC ORD 28 4/7P,SBRY.L,SBRY.L,Consumer Defensive,GBp,261.9,0.13,0.05,1992-11-16,2023-06-08,9.2,268.8
FDM GROUP (HOLDINGS) PLC ORD 1P,FDM.L,FDM.L,Technology,GBp,576.0,0.36,0.0625,2015-05-14,2023-06-08,19.0,679.0
BARR(A.G.) PLC ORD 4 1/6P,BAG.L,BAG.L,Consumer Defensive,GBp,488.5,0.13,0.026800001,1991-03-05,2023-05-11,10.6,512.4
SMITHS GROUP PLC ORD 37.5P,SMIN.L,SMIN.L,Industrials,GBp,1589.0,0.4,0.0253,1993-05-10,2023-04-06,12.9,1653.6
TELECOM PLUS PLC ORD 5P,TEP.L,TEP.L,Utilities,GBp,1586.0,0.8,0.0504,2000-11-20,2023-07-20,46.0,1718.0
HILL & SMITH PLC ORD 25P,HILS.L,HILS.L,Industrials,GBp,1766.0,0.37,0.021,1989-04-03,2023-06-01,22.0,1434.0
AIRTEL AFRICA PLC ORD USD0.50,AAF.L,AAF.L,Communication Services,GBp,110.9,0.04,0.0394,2019-11-14,2023-06-22,3.27,116.13
SMITH (DS) PLC ORD 10P,SMDS.L,SMDS.L,Consumer Cyclical,GBp,293.2,0.18,0.0621,1993-02-01,2022-12-15,21.0,320.3
GREGGS PLC ORD 2P,GRG.L,GRG.L,Consumer Defensive,GBp,2430.0,0.6,0.025,1993-04-29,2023-04-27,44.0,2790.0
DUNELM GROUP PLC ORD 1P,DNLM.L,DNLM.L,Consumer Cyclical,GBp,1121.0,0.41,0.0366,2007-04-04,2023-03-16,40.0,1133.0
GALLIFORD TRY HOLDINGS PLC ORD 50P,GFRD.L,GFRD.L,Industrials,GBp,197.0,0.09,0.044699997,1993-03-15,2023-03-16,3.0,166.8
BOOT (HENRY) PLC ORD 10P,BOOT.L,BOOT.L,Real Estate,GBp,202.0,0.08,0.0396,1992-05-26,2023-05-04,4.0,241.0
COMPASS GROUP PLC ORD 11 1/20P,CPG.L,CPG.L,Consumer Cyclical,GBp,2019.0,0.37,0.0184,2001-08-15,2023-06-08,37.1,2172.0
MORGAN ADVANCED MATERIALS PLC ORD 25P,MGAM.L,MGAM.L,Industrials,GBp,258.0,0.12,0.0465,1993-04-19,2023-06-08,6.7,286.8
MACFARLANE GROUP PLC ORD 25P,MACF.L,MACF.L,Consumer Cyclical,GBp,110.0,0.03,0.0315,1990-05-17,2023-05-11,2.52,113.23
BAKKAVOR GROUP PLC ORD 2P,BAKK.L,BAKK.L,Consumer Defensive,GBp,97.0,0.07,0.0714,2018-09-13,2023-04-27,4.16,91.64
BRITVIC PLC ORD 20P,BVIC.L,BVIC.L,Consumer Defensive,GBp,848.0,0.29,0.0347,2006-06-07,2023-05-25,8.2,908.3
LSL PROPERTY SERVICES PLC ORD 0.2P,LSL.L,LSL.L,Real Estate,GBp,247.0,0.11,0.0465,2007-08-15,2023-04-27,7.4,262.6
MONDI PLC ORD EUR 0.20,MNDI.L,MNDI.L,Basic Materials,GBp,1267.0,0.63,0.0494,2007-08-29,2023-08-24,65.94304,1256.67
KAINOS GROUP PLC ORD 0.5P,KNOS.L,KNOS.L,Technology,GBp,1186.0,0.24,0.0202,2015-12-03,2022-11-24,22.9,1732.2
CRANSWICK PLC ORD 10P,CWK.L,CWK.L,Consumer Defensive,GBp,3242.0,0.79,0.024500001,1993-01-04,2023-07-20,58.8,3319.2
INVESTEC PLC ORD GBP0.0002,INVP.L,INVP.L,Financial Services,GBp,466.6,0.31,0.0664,2002-12-09,2023-08-17,17.5,446.0
BLOOMSBURY PUBLISHING PLC ORD 1.25P,BMY.L,BMY.L,Communication Services,GBp,419.0,0.12,0.027999999,1995-04-24,2023-07-27,10.34,427.66
WORKSPACE GROUP PLC ORD GBP1,WKP.L,WKP.L,Real Estate,GBp,500.0,0.26,0.051999997,1994-07-04,2023-07-06,25.799999999999997,477.6
MONEYSUPERMARKET.COM GROUP PLC ORD 0.02P,MONY.L,MONY.L,Communication Services,GBp,242.2,0.12,0.048800003,2008-03-19,2023-08-03,11.809999999999999,263.6
REACH PLC ORD 10P,RCH.L,RCH.L,Communication Services,GBp,69.75,0.07,0.105900005,1993-03-29,2023-08-10,7.34,76.57
DRAX GROUP PLC ORD 11 16/29P,DRX.L,DRX.L,Utilities,GBp,559.6,0.22,0.039,2006-10-04,2023-08-24,21.799999999999997,557.0
WICKES GROUP PLC ORD GBP0.10,WIX.L,WIX.L,Consumer Cyclical,GBp,138.9,0.11,0.0785,2021-09-23,2023-04-20,7.3,135.1
STV GROUP PLC ORD 50P,STVG.L,STVG.L,Communication Services,GBp,198.0,0.11,0.0571,2000-05-02,2023-04-13,7.4,249.1
SECURE TRUST BANK PLC ORD 40P,STB.L,STB.L,Financial Services,GBp,674.0,0.45,0.0669,2012-04-18,2023-04-27,29.1,646.9
FORESIGHT GROUP HOLDINGS LIMITED ORD NPV,FSG.L,FSG.L,Financial Services,GBp,480.0,0.2,0.0419,2021-09-09,2023-01-12,4.6,455.4
