Company,ISIN,Ticker,Sector,currency,currentPrice,dividendRate,dividendYield,firstDividendDate,lastDividendDate,lastDividendValue,lastPriceWithDividend
AEVIS N,AEVS.SW,AEVS.SW,Healthcare,CHF,18.9,0.45,0.0238,2013-06-07,2023-06-29,0.45,18.25
ADECCO N,ADEN.SW,ADEN.SW,Industrials,CHF,37.43,2.5,0.0668,2000-05-02,2023-04-18,4.35,31.1
ABBOTT LABOR,ABT.SW,ABT.SW,Healthcare,CHF,93.0,1.79,0.019299999,1998-10-13,2023-07-13,1.53,90.99
ABB LTD N,ABBN.SW,ABBN.SW,Industrials,CHF,32.91,0.84,0.0255,2000-03-23,2023-03-27,0.84,28.95
ALLREAL N,ALLN.SW,ALLN.SW,Real Estate,CHF,154.4,7.0,0.045300003,2002-03-26,2023-04-25,7.0,155.8
ALPINE SELECT N,ALPN.SW,ALPN.SW,Financial Services,CHF,10.5,1.0,0.0952,2004-09-02,2023-05-22,1.0,11.0
ALSO N,ALSN.SW,ALSN.SW,Technology,CHF,211.0,0.89,0.0042,1996-04-25,2023-03-21,0.89,186.71
APG SGA N,APGN.SW,APGN.SW,Communication Services,CHF,182.0,11.0,0.060399998,2000-05-31,2023-05-02,11.0,186.0
ANGLO PLC,AAM.SW,AAM.SW,Basic Materials,CHF,21.8,1.14,0.0502,1999-09-27,2023-08-17,1.29,26.25
ASCOM N 10,ASCN.SW,ASCN.SW,Healthcare,CHF,10.86,0.2,0.0184,2000-11-08,2023-04-20,0.2,8.7
BACHEM N -B-,BANB.SW,BANB.SW,Basic Materials,CHF,81.45,0.75,0.0092,1999-05-07,2023-04-21,0.75,93.15
BALOISE N,BALN.SW,BALN.SW,Financial Services,CHF,136.1,7.4,0.0544,1998-06-24,2023-05-03,7.4,138.8
BARRY CALLEBAUT N,BARN.SW,BARN.SW,Consumer Defensive,CHF,1551.0,28.0,0.018099999,1998-12-16,2023-01-09,28.0,1852.0
BC GENEVE P,BCGE.SW,BCGE.SW,Financial Services,CHF,220.0,5.5,0.025,1995-04-19,2023-05-04,5.5,204.5
BC VAUD N,BCVN.SW,BCVN.SW,Financial Services,CHF,96.45,3.8,0.0394,2004-05-03,2023-05-08,3.8,86.85
BC JURA I,BCJ.SW,BCJ.SW,Financial Services,CHF,52.0,1.75,0.0337,1995-05-02,2023-05-02,1.75,52.75
BEKB / BCBE N,BEKN.SW,BEKN.SW,Financial Services,CHF,239.0,9.6,0.0402,2001-04-30,2023-05-19,9.6,225.4
BELIMO N,BEAN.SW,BEAN.SW,Industrials,CHF,454.0,8.5,0.0187,1997-05-02,2023-03-29,8.5,432.0
BELLEVUE GROUP N,BBN.SW,BBN.SW,Financial Services,CHF,25.4,2.0,0.0787,2001-05-14,2023-03-23,2.0,35.75
BKW N,BKW.SW,BKW.SW,Utilities,CHF,157.5,2.8,0.0178,2012-05-15,2023-05-17,1.25,166.15
BELL AG N,BELL.SW,BELL.SW,Consumer Defensive,CHF,267.5,7.0,0.026199998,1997-04-28,2023-04-20,7.0,277.5
BOSSARD N,BOSN.SW,BOSN.SW,Industrials,CHF,200.0,5.5,0.0275,2003-06-16,2023-04-19,5.5,231.0
BUCHER N,BUCN.SW,BUCN.SW,Industrials,CHF,355.4,13.0,0.0366,2003-05-09,2023-04-21,13.0,401.0
BURCKHARDT N,BCHN.SW,BCHN.SW,Industrials,CHF,503.0,12.0,0.0239,2007-07-11,2023-07-04,12.0,507.0
